approach,threshold,period,CAGR,Sharpe,MaxDD,Worst5Y,Worst10Y,WinRate,Trades
A,0.05,IS,0.3199968090199563,1.3269783663329948,-0.3155187958251421,0.027043870862611286,0.1533560786706325,0.851063829787234,3081
A,0.05,OOS,0.2536832939636211,0.9843464188201926,-0.3123069718885845,,,0.6,335
A,0.05,WF1,0.12880249049846992,0.6190251622028402,-0.26497263598717247,0.055279850256340524,,0.6,571
A,0.05,WF2,0.23013191762416207,0.941261141914644,-0.3073716460421321,0.10916377498191987,,1.0,519
A,0.05,WF3,0.3154831238147904,1.0842970641851353,-0.3123069718885845,0.22120752772541774,,0.6666666666666666,430
A,0.1,IS,0.31303867560202114,1.3124165902199532,-0.3387000321354231,0.010773696920539866,0.14346719794026086,0.851063829787234,1929
A,0.1,OOS,0.2514930735492398,0.989280935934308,-0.32312477408323226,,,0.6,219
A,0.1,WF1,0.11185327722822946,0.5600242538547149,-0.27001377416030803,0.03930987794653795,,0.6,380
A,0.1,WF2,0.22550931762199222,0.9332728578072004,-0.3245604373097928,0.10785954984000035,,1.0,366
A,0.1,WF3,0.3131482283720928,1.0876337235607703,-0.32312477408323226,0.22068376998253947,,0.6666666666666666,285
A,0.15,IS,0.31417884119755524,1.3377797129953697,-0.3136418315692536,0.04771427041667553,0.16296416169224903,0.851063829787234,1259
A,0.15,OOS,0.25487339353196936,0.9957627245475502,-0.2994759335622441,,,0.6,158
A,0.15,WF1,0.14726573835998602,0.6939663467385416,-0.23650478678219466,0.07345381687078123,,0.6,264
A,0.15,WF2,0.22791221661471228,0.9615002373353836,-0.26564431208526573,0.12146077897589636,,1.0,247
A,0.15,WF3,0.30735894411273557,1.083184783413514,-0.2994759335622441,0.21984286713218393,,0.6666666666666666,199
A,0.2,IS,0.3089293630818566,1.330697169024137,-0.32552466597743557,0.05324279070219462,0.15231125254940747,0.851063829787234,881
A,0.2,OOS,0.25149415726466184,0.9902186843118559,-0.29196718220310025,,,0.6,101
A,0.2,WF1,0.13245289882875233,0.6447794321783631,-0.2337547873024045,0.09112631121176529,,0.6,183
A,0.2,WF2,0.2395013826822452,1.0000590194697763,-0.2708828945912567,0.14071555009418413,,1.0,171
A,0.2,WF3,0.30143547477539445,1.0850883925150157,-0.29196718220310025,0.2257519454162713,,0.6666666666666666,124
A,0.25,IS,0.3078853026186028,1.3383578458979768,-0.29745535062704076,0.047604744563851,0.15339933221099367,0.8085106382978723,653
A,0.25,OOS,0.20688191644013254,0.8684835606798147,-0.296949802972874,,,0.6,76
A,0.25,WF1,0.15700008205361748,0.7409634297322414,-0.21576493302465427,0.09402826010522025,,0.6,144
A,0.25,WF2,0.20447891650616024,0.8931992118865305,-0.2945312410634623,0.09053769606282214,,0.8,130
A,0.25,WF3,0.2646451641742351,0.9831833583227981,-0.296949802972874,0.17922924632583603,,0.6666666666666666,95
