Strategy,Sharpe,CAGR,MaxDD,Worst5Y,OOS_Sharpe,Y2022,wn,wg,wb
50/25/25,1.1151751935784662,0.16918426665706376,-0.26261960430375053,0.01782117679287709,1.0023628652137355,-11.964723764837215,50,25,25
50/20/30,1.114820724576631,0.16829202226214623,-0.2582681647079973,0.019148137978949764,0.9531153142207893,-12.672351518057823,50,20,30
50/30/20,1.1127444861024924,0.1699661800051262,-0.2669368474410708,0.01645815578648735,1.0474815960698889,-11.259970650127505,50,30,20
55/25/20,1.0865186470699417,0.17786467702573638,-0.27848275942183687,0.017393884759916434,0.9924914945950674,-12.288773838486378,55,25,20
55/20/25,1.0861541989376495,0.1769770143001521,-0.2722776278674063,0.018708362244973964,0.9461029065278233,-12.99778758605077,55,20,25
55/30/15,1.084539404960595,0.17864104055824748,-0.28478319713839645,0.016043176626960642,1.0354238371547109,-11.582624066465696,55,30,15
55/15/30,1.083363004877985,0.17597652596918723,-0.26784849554216345,0.019986401962172273,0.8963569459937596,-13.709580533883459,55,15,30
60/25/15,1.0606816060109743,0.1862716175022221,-0.3030052709826329,0.01688127590111188,0.9830525545513218,-12.615499503584838,60,25,15
60/20/20,1.060296589978714,0.1853885987539603,-0.2968695327518925,0.01818303178809,0.9392602929583118,-13.32589897450218,60,20,20
60/30/10,1.0590684277790123,0.1870423652314277,-0.30914059306888697,0.015543112628567002,1.0239254505428907,-11.907953255478276,60,30,10
60/15/25,1.0578457148145735,0.1843917602068057,-0.29073384304643707,0.019448170287298394,0.8926453989517767,-14.039066828598967,60,15,25
60/10/30,1.0532882070300351,0.18327938711401237,-0.2849075659685151,0.02067648003463307,0.8433759538799868,-14.754918624711388,60,10,30
65/25/10,1.0373712711665581,0.19440574310273884,-0.32710827801094383,0.01628324136444026,0.9742430663625947,-12.944893514967204,65,25,10
65/20/15,1.0369624654787772,0.1935274498925046,-0.3211359090321343,0.017572034592558072,0.9328070134911146,-13.656678431957125,65,20,15
65/30/5,1.0360560736693643,0.19517078991141434,-0.3330796185905014,0.014232926063099116,1.0131914498894974,-12.235950978604071,65,30,5
65/15/20,1.0347737510413078,0.19253433902513728,-0.3151629580799293,0.018824024623362634,0.8889742182246224,-14.371220825977193,65,15,20
65/10/25,1.0307689594144358,0.19142466989576667,-0.3091898758281794,0.01953872437718962,0.8428891504079458,-15.088436192253674,65,10,25
65/5/30,1.024933086345602,0.19019650961068035,-0.3033452445734192,0.018342396403576933,0.7947506480437468,-15.808240425113485,65,5,30
70/25/5,1.0162849131607326,0.20226735543722407,-0.35079931249606316,0.015599662652451496,0.9661384367321914,-13.276948681040802,70,25,5
70/20/10,1.0158526769167349,0.20139388763686417,-0.3449892268335327,0.016875248839784307,0.9268417767876499,-13.990118760535886,70,20,10
70/30/0,1.015213704446311,0.20302659798041423,-0.35660778609955823,0.008888245393469996,1.0032974503223144,-12.566610050847526,70,30,0
70/15/15,1.0138701830135481,0.20040460074632027,-0.33917795778719456,0.018113839648122854,0.8854911097677322,-14.706035322160693,70,15,15
70/10/20,1.010305368362004,0.19929772816086122,-0.3333659381062909,0.01707178345284488,0.8422109057403229,-15.424613797922381,70,10,20
70/5/25,1.0051419760376705,0.1980713070147968,-0.32755360465640526,0.015786249037661904,0.7971668028267849,-16.145770019285834,70,5,25
75/25/0,0.9971394798969049,0.20985642059440535,-0.37408563499067177,0.011366663614611916,0.9587480395452955,-13.6116578631024,75,25,0
75/20/5,0.9966857921333725,0.20898789575096344,-0.36843676404741305,0.016092542718635805,0.921396555481694,-14.326212815249873,75,20,5
75/15/10,0.9948686462234173,0.20800254686554154,-0.3627861367281861,0.01563458458267175,0.882269732392726,-15.043503166182282,75,15,10
75/10/15,0.9916595478328624,0.20689858119752857,-0.3571341683393362,0.014382431255145267,0.8414752037054968,-15.763444285076256,75,10,15
75/5/20,0.9870419888083478,0.20567400572428007,-0.3514812781350551,0.013095794715090703,0.7991522972271432,-16.485951940924636,75,5,20
80/20/0,0.9792097053725951,0.2163091352200659,-0.3914855394732285,0.013512387169361872,0.9164672174724261,-14.664953503330302,80,20,0
80/15/5,0.9775274535772778,0.21532785570802315,-0.38599452891755187,0.012811040732994217,0.87934123273343,-15.383617259292281,80,15,5
80/10/10,0.9746100697689424,0.21422692470389704,-0.38050161508854846,0.011558193799315664,0.8407622251378813,-16.104920549286117,80,10,10
80/5/15,0.9704413384288161,0.21300431884815518,-0.37500720009939753,0.010270705788547607,0.8008484505464466,-16.828779080221356,80,5,15
85/15/0,0.961633560163338,0.22237989165784655,-0.4088099210259163,0.009851990471461347,0.8767125600575499,-15.72637055429289,85,15,0
85/10/5,0.958958528295239,0.22128214027586957,-0.403475078239473,0.008598711758178057,0.8401189572113761,-16.449035537669587,85,10,5
85/5/10,0.9551632920781142,0.22006164520754412,-0.3981381829835392,0.007310627258451774,0.8023513195603614,-17.174244378905858,85,5,10
90/10/0,0.9445306144811583,0.22806330072461334,-0.426061121517047,0.005503596663434918,0.839571749605911,-16.795782248235234,90,10,0
90/5/5,0.9410496037062421,0.226845074899668,-0.4208808018430479,0.004215175284219663,0.8037269344234006,-17.52234082958872,90,5,5
