bin,count,mean,median,std,positive_pct,worst,best,q25,q75
0-10%,2406,0.6805,0.4919,1.3713,0.6658,-0.9762,5.7286,-0.6576,1.3772
10-20%,815,0.4811,0.4500,0.6421,0.8025,-0.9724,2.1267,0.0710,0.7936
20-30%,895,0.3674,0.3882,0.5947,0.7050,-0.9728,2.3370,-0.0760,0.7429
30-40%,975,0.3914,0.3328,0.6841,0.7282,-0.9691,5.6916,-0.0247,0.7000
40-50%,666,0.3640,0.3246,0.6437,0.7147,-0.9759,4.7704,-0.0483,0.6840
50-60%,606,0.4133,0.3260,0.7614,0.7277,-0.9780,5.6686,-0.0356,0.7003
60-70%,576,0.4553,0.3402,0.8318,0.7535,-0.9759,5.7907,0.0301,0.7586
70-80%,526,0.4106,0.3321,0.6265,0.7776,-0.9470,5.8491,0.0553,0.7334
80-90%,529,0.3462,0.2976,0.5718,0.7448,-0.9730,4.0359,-0.0032,0.7209
90-100%,3299,0.4779,0.4066,0.6872,0.7811,-0.9746,3.9188,0.0483,0.8280
