w_bin,r_bin,horizon,samples,pct_of_total,NQ_eff,Gold_eff,Bond_eff,Cash_eff,CAGR_ann,median,p10,p25,p75,pos_pct
30-50%,0%(CASH),5,792,6.0141240792770905,0.1,30.0,30.0,39.900000000000006,13.739729052348126,0.13323651049145235,-2.7508847630254554,-1.2270949720127322,1.554062779163523,53.15656565656566
30-50%,0%(CASH),10,792,6.0141240792770905,0.1,30.0,30.0,39.900000000000006,14.485681516472404,0.2617186985152786,-3.4898731330028396,-1.6534930198067233,2.2740367431311634,53.661616161616166
30-50%,1-30%,5,862,6.545675449920267,6.1,30.0,30.0,33.900000000000006,19.460671415693565,0.3657217469271834,-2.061641968357279,-0.6586803843982025,1.524723896632063,60.092807424593964
30-50%,1-30%,10,862,6.545675449920267,6.1,30.0,30.0,33.900000000000006,16.422851645566205,0.6934006523414471,-2.848350916814135,-0.9835546221475727,2.521777180109963,59.164733178654295
30-50%,30-60%,5,157,1.1921937884425546,18.0,30.0,30.0,22.000000000000004,41.13809112453979,0.6454717820443712,-1.654247214871651,-0.7335399896219563,1.9525412714430423,62.42038216560509
30-50%,30-60%,10,157,1.1921937884425546,18.0,30.0,30.0,22.000000000000004,19.205529501076413,0.6980838441025705,-3.2281340938264687,-1.1426514970700463,2.5918933709494274,56.68789808917197
50-70%,0%(CASH),5,2127,16.151568076543395,0.15,20.0,20.0,59.85,10.416223255677949,0.08222873447492063,-1.800400791260643,-0.7755229686189635,1.1389117293418405,52.60930888575458
50-70%,0%(CASH),10,2127,16.151568076543395,0.15,20.0,20.0,59.85,12.121646104115701,0.28956494466085836,-2.5075979045034487,-1.0565969620728533,1.733361189966598,56.276445698166434
50-70%,1-30%,5,804,6.14321512643329,9.15,20.0,20.0,50.849999999999994,10.672812905575068,0.14517731439930293,-2.0637281783183403,-1.0131369301577182,1.4882797135779724,54.353233830845774
50-70%,1-30%,10,800,6.14321512643329,9.15,20.0,20.0,50.849999999999994,12.013957925286945,0.5044238294467429,-2.905729913436985,-1.5194530857777249,2.27651296509796,56.75
50-70%,30-60%,5,1873,14.222795960209583,26.999999999999996,20.0,20.0,33.0,16.534005691767504,0.3366717357158544,-2.700288674737028,-1.1909954242340426,1.7824117731982891,55.686065136145224
50-70%,30-60%,10,1872,14.222795960209583,26.999999999999996,20.0,20.0,33.0,22.677603286939394,0.6360905918694315,-3.8759200636215096,-1.8359910781639481,3.2044117009380866,56.57051282051282
50-70%,60-85%,5,295,2.2401093477105323,43.5,20.0,20.0,16.5,28.58686851491059,0.49176233909817846,-4.314484977524797,-1.6503766985685286,2.9621488525157003,56.271186440677965
50-70%,60-85%,10,295,2.2401093477105323,43.5,20.0,20.0,16.5,57.929145523620804,1.4566822828554704,-4.270749352255514,-1.960726658885692,5.137373175177096,64.40677966101694
50-70%,85-100%,5,171,1.2985040625711899,55.50000000000001,20.0,20.0,4.499999999999997,84.39728757512314,1.26421438392883,-5.353354042434411,-1.562978688839295,4.009252997259683,62.57309941520468
50-70%,85-100%,10,171,1.2985040625711899,55.50000000000001,20.0,20.0,4.499999999999997,59.77091812061841,1.9121480417642944,-5.775771104743777,-3.0762468300389534,6.7109500438771175,60.23391812865497
70-90%,60-85%,5,1174,8.914875844787,57.99999999999999,9.999999999999998,9.999999999999998,22.000000000000004,34.95087565317265,0.7073804427930264,-3.740200525300369,-1.7384410126874306,2.9280727859137103,59.36967632027257
70-90%,60-85%,10,1174,8.914875844787,57.99999999999999,9.999999999999998,9.999999999999998,22.000000000000004,34.12092190750664,0.9211720047959226,-5.136304368656126,-2.0948292138766673,4.368892936010288,57.75127768313458
70-90%,85-100%,5,4883,37.0795048978662,74.00000000000001,9.999999999999998,9.999999999999998,5.999999999999997,55.21012665229386,1.185765103324532,-4.687576761387128,-1.758129374131051,3.755954071582157,60.96661888183493
70-90%,85-100%,10,4883,37.0795048978662,74.00000000000001,9.999999999999998,9.999999999999998,5.999999999999997,51.318360289444584,1.7537393368868281,-5.80942006247528,-2.3270437094428944,5.745041571543663,61.908662707352036
